Date,month,Dept,Status_Invoice,PO_Amount
6/1/2021,6,D021,Completely,18650
6/1/2021,6,D015,Completely,15000
6/1/2021,6,D046,Partly,15120
6/1/2021,6,D068,No,12320
6/2/2021,6,D017,Completely,18056
6/2/2021,6,D017,No,802
6/3/2021,6,D016,No,17568.48
6/3/2021,6,D017,Completely,1435
6/3/2021,6,D017,No,15864
6/3/2021,6,D023,No,654404.15
6/3/2021,6,D025,Completely,192
6/4/2021,6,D017,Completely,31379.3
6/4/2021,6,D017,No,84375
6/4/2021,6,D025,Partly,9000
6/8/2021,6,D017,Completely,101780.83
6/8/2021,6,D025,Completely,1050
6/8/2021,6,D022,Completely,2170
6/8/2021,6,D062,No,5779.2
6/9/2021,6,D016,No,982
6/9/2021,6,D017,Completely,63500
6/9/2021,6,D017,No,39582.5
6/9/2021,6,D046,Completely,791732.48
6/10/2021,6,D017,Completely,432437.8
6/10/2021,6,D017,No,7916.8
6/10/2021,6,D020,No,10800
6/10/2021,6,D020,Partly,8050
6/10/2021,6,D021,Completely,119954
6/10/2021,6,D021,No,22970
6/10/2021,6,D042,No,185000
6/10/2021,6,D008,No,133102.08
6/11/2021,6,D016,Completely,86460.96
6/11/2021,6,D017,Completely,1553095
6/11/2021,6,D017,No,7845.56
6/11/2021,6,D017,Partly,5850
6/14/2021,6,D017,No,6910
6/14/2021,6,D025,Completely,21396
6/14/2021,6,D015,Completely,4200
6/14/2021,6,D046,No,600
6/15/2021,6,D016,No,5202.63
6/15/2021,6,D017,Completely,1153989.4
6/15/2021,6,D017,No,9020
6/15/2021,6,D017,Partly,3372905.31
6/16/2021,6,D017,Completely,1220
6/16/2021,6,D017,No,11383.32
6/16/2021,6,D022,Partly,1248761.21
6/17/2021,6,D016,No,1150
6/17/2021,6,D022,Completely,597.5
6/18/2021,6,D017,No,36496
6/18/2021,6,D025,Completely,676.27
6/21/2021,6,D017,Completely,9643
6/21/2021,6,D017,No,37061
6/21/2021,6,D015,Completely,4200
6/21/2021,6,D015,No,7800
6/21/2021,6,D022,Completely,500
6/22/2021,6,D017,Completely,7000
6/22/2021,6,D021,No,8519.84
6/22/2021,6,D025,Partly,38994.68
6/23/2021,6,D017,Completely,1386185.9
6/23/2021,6,D017,No,196587.46
6/23/2021,6,D017,Partly,59119.91
6/23/2021,6,D021,Partly,12070
6/23/2021,6,D025,Completely,798.73
6/24/2021,6,D017,Completely,292
6/24/2021,6,D017,No,1200
6/24/2021,6,D025,Completely,108702
6/24/2021,6,D043,No,110590
6/24/2021,6,D046,No,710
6/25/2021,6,D017,Completely,22230.84
6/25/2021,6,D017,No,51467.41
6/25/2021,6,D021,Completely,10000
6/25/2021,6,D025,Completely,6390
6/25/2021,6,D025,No,118230.71
6/25/2021,6,D022,No,1890
6/25/2021,6,D068,No,9280
6/27/2021,6,D043,Completely,380
6/28/2021,6,D017,Completely,626323.67
6/28/2021,6,D017,No,2015
6/28/2021,6,D017,Partly,177600
6/28/2021,6,D023,Completely,4114
6/29/2021,6,D017,No,18850
6/29/2021,6,D023,No,220900.74
6/30/2021,6,D016,No,450
6/30/2021,6,D017,Completely,399.87
6/30/2021,6,D017,No,1162.45
