month,BP,Direction,Status,On-hand_quantity
Jan-21,V0001,Incoming,A,298257.5
Jan-21,V0001,Incoming,Q,0
Jan-21,V0001,Outgoing,A,-304026.4
Jan-21,V0001,Outgoing,Q,0
Jan-21,A00016,Incoming,A,44
Jan-21,B00004,Incoming,A,90560
Jan-21,B0001,Outgoing,A,-6
Jan-21,B00011,Incoming,A,17305.2
Jan-21,B00023,Incoming,A,30
Jan-21,C00025,Incoming,A,73102
Jan-21,C00025,Outgoing,A,-16640
Jan-21,C00029,Incoming,A,8035
Jan-21,C00029,Outgoing,A,-215
Jan-21,D00012,Incoming,A,1
Jan-21,E0001,Outgoing,A,-35279
Jan-21,E0002,Outgoing,A,-13420.5
Jan-21,H00008,Incoming,A,223
Jan-21,I00002,Incoming,A,6
Jan-21,I00008,Incoming,A,41
Jan-21,I00010,Incoming,A,4
Jan-21,I00016,Incoming,A,1
Jan-21,I00017,Incoming,A,33000
Jan-21,I00017,Outgoing,A,-16500
Jan-21,I00023,Incoming,A,22000
Jan-21,J0001,Outgoing,A,-2376
Jan-21,K0001,Outgoing,A,-1200
Jan-21,M00008,Incoming,A,1
Jan-21,M00018,Incoming,A,2
Jan-21,M00026,Incoming,A,12
Jan-21,N00007,Incoming,A,98
Jan-21,O00003,Incoming,A,4
Jan-21,O00011,Incoming,A,6
Jan-21,P00009,Incoming,A,9
Jan-21,P0001,Outgoing,A,-11169
Jan-21,P00011,Incoming,A,2
Jan-21,P00017,Incoming,A,29
Jan-21,R00007,Incoming,A,17200
Jan-21,R00009,Incoming,A,7
Jan-21,R0001,Outgoing,A,-18308
Jan-21,S0001,Outgoing,A,-32112.36
Jan-21,S00012,Incoming,A,10500
Jan-21,S00022,Incoming,A,1
Jan-21,S0010,Incoming,A,55
Jan-21,S0010,Outgoing,A,-130851
Jan-21,T00008,Incoming,A,8
Jan-21,T00015,Incoming,A,29440
Jan-21,U00007,Incoming,A,7
Jan-21,U0001,Outgoing,A,-960
Feb-21,U0001,Incoming,A,305415
Feb-21,U0001,Incoming,Q,0
Feb-21,U0001,Outgoing,A,-309032.2
